# ----------------------------------------
# 1 Master View
# Location
# 20171001-20171031
# ----------------------------------------

City,Date Range,Segment,Users,New Users,Sessions,Bounce Rate,Pages / Session,Avg. Session Duration,Transactions,Revenue,Ecommerce Conversion Rate,Goal Conversion Rate
Phoenix,"Oct 1, 2017 - Oct 31, 2017",Mobile and Tablet Traffic,161,141,196,69.90%,2.49,00:01:40,0,$0.00,0.00%,5.10%
Kirkland,"Oct 1, 2017 - Oct 31, 2017",All Users,228,150,352,20.17%,6.37,00:03:12,26,"$4,327.22",7.39%,50.85%
Kirkland,"Oct 1, 2017 - Oct 31, 2017",Direct Traffic,31,24,36,19.44%,5.75,00:02:14,4,$396.40,11.11%,52.78%
Kirkland,"Oct 1, 2017 - Oct 31, 2017",Made a Purchase,32,17,75,13.33%,10.17,00:05:50,26,"$4,327.22",34.67%,150.67%
Kirkland,"Oct 1, 2017 - Oct 31, 2017",Mobile and Tablet Traffic,14,12,15,46.67%,3.60,00:00:57,0,$0.00,0.00%,6.67%
Denver,"Oct 1, 2017 - Oct 31, 2017",All Users,211,174,283,57.60%,3.86,00:02:25,4,$351.69,1.41%,21.91%
Denver,"Oct 1, 2017 - Oct 31, 2017",Direct Traffic,24,19,28,39.29%,5.32,00:03:36,1,$31.50,3.57%,39.29%
Denver,"Oct 1, 2017 - Oct 31, 2017",Made a Purchase,8,4,18,27.78%,7.67,00:04:57,4,$351.69,22.22%,88.89%
Denver,"Oct 1, 2017 - Oct 31, 2017",Mobile and Tablet Traffic,131,109,185,70.27%,2.24,00:01:31,0,$0.00,0.00%,4.86%
Ann Arbor,"Oct 1, 2017 - Oct 31, 2017",All Users,207,160,297,33.00%,5.02,00:02:30,16,"$1,802.18",5.39%,29.97%
Ann Arbor,"Oct 1, 2017 - Oct 31, 2017",Direct Traffic,31,26,40,35.00%,4.92,00:01:30,2,$369.00,5.00%,30.00%
Ann Arbor,"Oct 1, 2017 - Oct 31, 2017",Made a Purchase,15,7,31,12.90%,10.00,00:07:24,16,"$1,802.18",51.61%,180.65%
Ann Arbor,"Oct 1, 2017 - Oct 31, 2017",Mobile and Tablet Traffic,83,78,95,55.79%,3.15,00:01:27,0,$0.00,0.00%,6.32%
